Horodateur,Nom du créateur,corCrea,Nom de l'Évaluateur,corEval,Version du projet,"Aspect Technique: Qualité du Code (Lisibilité, structure, respect des standards)","Aspect Technique: Fonctionnalité et Robustesse (Absence de bugs majeurs, gestion des erreurs)","Aspect Design/UX: Interface Utilisateur (Attractivité, cohérence visuelle)","Aspect Design/UX: Expérience Utilisateur (Facilité de navigation, intuitivité)","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise HTML et sémantique]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise CSS et Responsive Design]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Complexité et efficacité du JavaScript (front-end)]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Utilisation de librairie ou framework (ex: React, Vue, Node.js)]",Innovation et Originalité du Projet,Points forts du projet,Suggestions d'amélioration,Pertinence des améliorations de la nouvelle version,Note Globale Recommandée (sur 20)
09/12/2025 11:14:45,ouarkia,Ouarkia,ouarkia,Ouarkia,1,2,4,2,3,Conforme,Partiellement Conforme,Non Conforme,Non Conforme,2,quizz intéractif amusant,changer l'affichage de question,2,10
09/12/2025 13:22:42,ouarkia,Ouarkia,ouarkia,Ouarkia,1,2,4,3,3,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,4,mise en page + jolie que le précédent ,ajouter le score du quizz et modifier le titre,6,11
09/12/2025 15:26:18,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,1,4,4,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,7,"Accessibilité, intuitivité","Affichage du score final lorsque le timer se termine, ainsi qu’un tableau récapitulant les scores précédents.",6,14
09/12/2025 15:30:22,Fatoucmr,fatoucmr,Fatoucmr,fatoucmr,1,4,4,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,7,Accessibilité et intuitivité,"effet sonore lors du clic sur les étoiles, ajout un timer et les boutons start (démarrer) et restart (redémarrer)",7,13
09/12/2025 15:36:28,nali-333,nali-333,nali-333,nali-333,6,5,5,4,4,Dépasse les attentes,Conforme,Conforme,Conforme,7,"Efficacité
Réactif
Moderne
Approche Algorithmique",Stocker les évaluations des utilisateurs,9,"15,5"
11/12/2025 10:26:28,ouarkia,Ouarkia,ouarkia,Ouarkia,3,3,4,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,6,l'ajour du score rend le quizz + divertissant ,rajouter de la musique + intégrer un fichier CSV,7,12
11/12/2025 10:36:48,ouarkia,Ouarkia,ouarkia,Ouarkia,3,4,4,3,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,6,le csv rendra mon quizz + divertissant puisque je pourrais en changer les questions assez facilement,rajouter une barre de progression avec un timer ,7,13
11/12/2025 10:39:16,ouarkia,Ouarkia,ouarkia,Ouarkia,4,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,7,le timer rend le jeu + ludique ,rajouter un historique de score + les questions dans un ordre aléatoire,7,14
11/12/2025 10:42:31,ouarkia,Ouarkia,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,7,le mélangage de questions rend le quizz + ludique,confettis à la fin + changement de couleurs du timer,8,15
11/12/2025 10:44:45,ouarka,Ouarkia,ouarkia,Ouarkia,6,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,8,la couleur changeante crée l'urgence et rend le quizz + amusant,"je voulais rendre la partie ""historique score"" + jolie cependant avec tous mes essais mon fichiers CSV n'était plus reconnu. ",9,15
13/12/2025 20:54:57,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,kadiriilham634-del,1,4,4,3,4,Conforme,Partiellement Conforme,Conforme,Non Conforme,3,"Le projet est fonctionnel et stable. La logique du jeu est simple et claire, avec une gestion correcte des tentatives et des erreurs. Ce premier test sert de base de travail, avec une interface volontairement simple.","Ce premier test peut être amélioré avec des niveaux de difficulté, une interface un peu plus travaillée et, plus tard, des sons pour rendre le jeu plus interactif.",7,13
